,game,team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,year_month
2300,DET @ PHI 2017-03-04,DET,240.0,54.0,95.0,0.568,10.0,23.0,0.435,18.0,21.0,0.857,10.0,34.0,44.0,26.0,11.0,10.0,7.0,9.0,136.0,,0.652,0.621,0.242,0.221,25.0,85.0,55.0,48.1,10.9,18.5,6.3,100.0,134.6,104.9,201703
2301,DET @ PHI 2017-03-04,PHI,240.0,43.0,88.0,0.489,14.0,34.0,0.41200000000000003,6.0,7.0,0.857,6.0,30.0,36.0,30.0,5.0,2.0,19.0,18.0,106.0,,0.5820000000000001,0.568,0.386,0.08,15.0,75.0,45.0,69.8,5.0,2.8,17.3,100.0,104.9,134.6,201703
2302,DET @ PHI 2017-12-02,DET,240.0,34.0,78.0,0.436,9.0,31.0,0.29,26.0,32.0,0.813,7.0,29.0,36.0,20.0,8.0,2.0,16.0,27.0,103.0,,0.5589999999999999,0.494,0.397,0.41,18.9,63.0,43.4,58.8,8.3,3.4,14.8,100.0,106.4,111.6,201712
2303,DET @ PHI 2017-12-02,PHI,240.0,35.0,86.0,0.40700000000000003,10.0,28.0,0.35700000000000004,28.0,32.0,0.875,17.0,30.0,47.0,27.0,7.0,4.0,17.0,24.0,108.0,,0.54,0.465,0.326,0.37200000000000005,37.0,81.1,56.6,77.1,7.2,8.5,14.5,100.0,111.6,106.4,201712
2304,DET @ PHI 2018-01-05,DET,240.0,30.0,78.0,0.385,7.0,22.0,0.318,11.0,19.0,0.579,6.0,28.0,34.0,20.0,9.0,4.0,12.0,14.0,78.0,,0.452,0.429,0.282,0.244,12.5,68.3,38.2,66.7,9.8,6.7,12.2,100.0,85.4,124.7,201801
2305,DET @ PHI 2018-01-05,PHI,240.0,44.0,90.0,0.489,14.0,30.0,0.467,12.0,13.0,0.9229999999999999,13.0,42.0,55.0,29.0,5.0,4.0,12.0,17.0,114.0,,0.595,0.5670000000000001,0.33299999999999996,0.14400000000000002,31.7,87.5,61.8,65.9,5.5,7.1,11.1,100.0,124.7,85.4,201801
2306,DET @ PHX 2015-11-06,DET,240.0,37.0,74.0,0.5,8.0,22.0,0.364,18.0,36.0,0.5,6.0,41.0,47.0,15.0,8.0,3.0,15.0,21.0,100.0,,0.557,0.5539999999999999,0.297,0.486,14.6,78.8,50.5,40.5,8.1,4.8,14.3,100.0,100.8,92.8,201511
2307,DET @ PHX 2015-11-06,PHX,240.0,37.0,92.0,0.402,10.0,30.0,0.33299999999999996,8.0,13.0,0.615,11.0,35.0,46.0,14.0,8.0,3.0,16.0,29.0,92.0,,0.47100000000000003,0.457,0.326,0.141,21.2,85.4,49.5,37.8,8.1,5.8,14.1,100.0,92.8,100.8,201511
2308,DET @ PHX 2016-11-09,DET,240.0,32.0,89.0,0.36,9.0,22.0,0.409,27.0,32.0,0.8440000000000001,9.0,32.0,41.0,20.0,11.0,5.0,11.0,24.0,100.0,,0.485,0.41,0.247,0.36,18.8,76.2,45.6,62.5,10.9,8.1,9.6,100.0,98.7,105.6,201611
2309,DET @ PHX 2016-11-09,PHX,240.0,38.0,84.0,0.452,8.0,22.0,0.364,23.0,30.0,0.767,10.0,39.0,49.0,20.0,7.0,6.0,17.0,20.0,107.0,,0.55,0.5,0.262,0.35700000000000004,23.8,81.3,54.4,52.6,6.9,9.0,14.9,100.0,105.6,98.7,201611
