,MIA,ORL,SAS,HOU,NOP,DAL,PHX,ATL,LAC,LAL,MEM,CHA,OKC,GSW,SAC,WAS,DEN,IND,PHI,BKN,NYK,UTA,CLE,CHI,BOS,DET,MIL,TOR,MIN,POR
NYK,1756.4291146398991,1513.1798623919033,2545.846095221731,2286.359890710249,1885.2601065854747,2211.8177019153763,3451.943780783168,1204.2951483525667,3947.577203966598,3947.577203966598,1539.6774863763699,858.5415600652894,2137.421687028658,4122.360806876812,4032.5494656871692,330.84405334947513,2627.3615221003056,1039.5879495311378,137.54907674148126,7.69657978794797,0.0,3175.4534876355715,651.2362137754152,1151.1159402687315,303.2858297426566,799.1418939439725,1181.6454820137503,548.5411832511567,1639.7439169065954,3933.961683985349
UTA,3362.8258382801855,3087.6001623738034,1753.7525854798364,1932.9865514314101,2308.2467005006147,1608.3890351103632,812.8026414094206,2548.5741134378245,934.7056750098722,934.7056750098722,2013.2002141781632,2781.22026822838,1389.913245738226,949.454629243939,857.1004300907857,2973.3205756309844,597.0570751840988,2184.9209318773715,3099.606824262364,3178.6710744583957,3175.453487635572,0.0,2525.2082106987173,2025.3221094707098,3378.0595533047317,2382.152910356447,1999.0836088662147,2687.2898264609244,1587.9192995243434,1021.8874315447451
CLE,1748.586407798561,1437.8039739457176,2019.3228881259295,1793.5266394546782,1487.6691735302697,1650.8581626954785,2815.208925300655,891.5147804571395,3300.7220816184167,3300.7220816184167,1015.4004582004751,700.1507726139183,1531.6348391601482,3471.44993350323,3382.2177836871433,490.9818355119269,1976.6557950012536,424.0507148429208,578.3722559185622,654.1347567911353,651.2362137754153,2525.208210698717,0.0,500.072526690655,885.9858714586376,185.39282506189457,541.6708572350955,304.6076270488488,1016.475879633193,3307.1362639746844
CHI,1913.5032656875665,1585.9308714798508,1687.8568216939454,1513.0316668303426,1341.4844878300667,1291.915205581087,2336.745323614819,946.4958441207336,2808.317587506,2808.317587506,776.517681763207,948.3643429344763,1112.6388735501107,2971.3795859353854,2882.2628159871333,962.4302336561774,1478.8765390549968,267.68844613703374,1075.2669176229601,1154.1117544982637,1151.1159402687315,2025.3221094707103,500.072526690655,0.0,1372.5099087818508,376.27769144580463,130.7216023764734,706.3046849606873,569.2220910440403,2826.6326954371634
BOS,2020.3335574677044,1794.4105505534003,2839.3475108541575,2584.031223855751,2188.2262010399627,2497.2379954181015,3701.0374715056264,1507.5740974482494,4180.82550591535,4180.82550591535,1829.7228387019138,1160.5290023688322,2407.21736181901,4327.47298157537,4233.519012671702,634.1287384086875,2849.261144386364,1299.2326854151254,440.371910783951,306.64895543791965,303.2858297426563,3378.0595533047317,885.9858714586377,1372.5099087818508,0.0,1000.7563062771216,1380.6129777322383,692.4668906102547,1808.9259743270857,4085.708513112723
DET,1897.0926373288924,1579.7651672097907,2003.954314999388,1798.797332632933,1540.6832494102348,1620.4481328041743,2713.021094750852,997.3909677971534,3181.743488551951,3181.743488551951,1025.0652492452245,855.2215997156519,1469.7698936973707,3330.867177933285,3238.9128691197047,673.4073523500541,1848.5684471150407,406.9151194424904,743.675368542825,803.1003631278382,799.1418939439725,2382.152910356447,185.39282506189454,376.27769144580463,1000.7563062771216,0.0,383.58212735750146,331.48263119997864,844.9528794111845,3139.5503374305954
MIL,2040.2052672597365,1712.8782203423434,1779.2105684902474,1617.5463952252064,1465.8601223039207,1379.0038556339473,2355.9108920322124,1075.4437406788188,2809.4293824541933,2809.4293824541933,896.7420650618044,1061.0829569635105,1179.3924224711504,2948.090626129393,2855.65103752207,1025.075314834498,1472.5385143411638,392.868612163811,1119.0268832553236,1185.3975271596858,1181.64548201375,1999.0836088662147,541.6708572350955,130.72160237647338,1380.6129777322383,383.58212735750146,0.0,695.1687596965025,480.4490487322715,2765.6161942450435
TOR,1982.9299859167006,1685.5399365403784,2313.5005536980957,2094.127692308338,1791.4939242325154,1937.6734167558343,3042.161955416477,1180.4541784495207,3504.188620579848,3504.188620579848,1315.7078958405693,943.0802720281239,1798.2253387131002,3636.7302613399875,3541.9893397793867,562.7632228842923,2167.7054289986218,709.376089614341,543.1066289752172,554.4258370538724,548.5411832511568,2687.289826460925,304.60762704884917,706.3046849606874,692.4668906102547,331.48263119997864,695.1687596965025,0.0,1117.2612988270637,3402.0545582106247
MIN,2432.242231998637,2105.707273152213,1784.8445750531728,1700.0741375105833,1691.5884814221117,1387.0806656383018,2058.711634586573,1460.050354332316,2453.7156307266846,2453.7156307266846,1126.578483360911,1512.318230291857,1116.1291288461973,2534.0934874823283,2435.571724795063,1504.0490946584366,1125.989697495878,823.7579646611877,1588.5589890458211,1644.1732799547412,1639.7439169065954,1587.9192995243434,1016.475879633193,569.2220910440403,1808.9259743270857,844.9528794111844,480.4490487322716,1117.261298827064,0.0,2294.938284162674
POR,4357.062812603155,4069.325464218942,2770.9230532102697,2954.819688845646,3318.4692413136936,2626.62058855292,1618.9665070866574,3495.2259363210073,1329.5236874263642,1329.5236874263642,2976.3303979220664,3684.7045443932125,2393.2383433719647,865.0794790463598,770.3160868139151,3787.5910146139354,1579.9661061985641,3034.3020647519775,3882.653166173567,3938.528842576781,3933.961683985349,1021.8874315447451,3307.1362639746844,2826.6326954371634,4085.708513112722,3139.5503374305945,2765.6161942450435,3402.054558210624,2294.938284162674,0.0
