,game,team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,year_month,home,away,fl_home
5907,SAC @ SAS 2017-03-08,SAS,240.0,42.0,84.0,0.5,14.0,29.0,0.483,16.0,21.0,0.762,6.0,37.0,43.0,33.0,9.0,5.0,12.0,15.0,114.0,,0.611,0.583,0.345,0.25,14.0,88.1,50.6,78.6,9.1,7.5,11.4,100.0,115.2,105.1,201703,SAS,SAC,1
5908,SAC @ SAS 2017-03-19,SAC,240.0,41.0,83.0,0.494,7.0,10.0,0.7,13.0,17.0,0.765,9.0,31.0,40.0,29.0,4.0,4.0,11.0,20.0,102.0,,0.564,0.536,0.12,0.205,23.1,67.4,47.1,70.7,4.5,6.8,10.8,100.0,114.0,131.9,201703,SAS,SAC,0
5909,SAC @ SAS 2017-03-19,SAS,240.0,43.0,87.0,0.494,11.0,28.0,0.393,21.0,27.0,0.778,15.0,30.0,45.0,31.0,9.0,3.0,6.0,20.0,118.0,,0.597,0.557,0.322,0.31,32.6,76.9,52.9,72.1,10.1,4.1,5.7,100.0,131.9,114.0,201703,SAS,SAC,1
5910,SAC @ SAS 2018-01-28,SAC,240.0,35.0,82.0,0.4270000000000001,18.0,34.0,0.529,10.0,11.0,0.909,6.0,28.0,34.0,21.0,5.0,3.0,9.0,20.0,98.0,,0.564,0.537,0.415,0.134,13.3,68.3,39.5,60.0,5.6,4.6,9.4,100.0,110.6,127.5,201801,SAS,SAC,0
5911,SAC @ SAS 2018-01-28,SAS,240.0,45.0,90.0,0.5,11.0,25.0,0.44,12.0,17.0,0.706,13.0,39.0,52.0,33.0,4.0,2.0,7.0,13.0,113.0,,0.58,0.561,0.278,0.189,31.7,86.7,60.5,73.3,4.5,4.2,6.7,100.0,127.5,110.6,201801,SAS,SAC,1
5912,SAC @ SAS 2018-04-09,SAC,240.0,33.0,81.0,0.407,8.0,18.0,0.444,11.0,17.0,0.647,12.0,33.0,45.0,16.0,4.0,2.0,12.0,24.0,85.0,,0.48,0.457,0.222,0.21,26.1,75.0,50.0,48.5,4.6,3.6,11.9,100.0,97.1,111.9,201804,SAS,SAC,0
5913,SAC @ SAS 2018-04-09,SAS,240.0,34.0,82.0,0.415,6.0,27.0,0.222,24.0,29.0,0.828,11.0,34.0,45.0,18.0,6.0,6.0,8.0,14.0,98.0,,0.517,0.451,0.329,0.354,25.0,73.9,50.0,52.9,6.9,9.5,7.8,100.0,111.9,97.1,201804,SAS,SAC,1
5914,SAC @ TOR 2015-12-20,SAC,240.0,40.0,76.0,0.526,9.0,21.0,0.429,15.0,24.0,0.625,5.0,37.0,42.0,26.0,8.0,8.0,15.0,19.0,104.0,,0.601,0.586,0.276,0.316,12.2,74.0,46.2,65.0,8.3,12.3,14.8,100.0,108.2,97.8,201512,TOR,SAC,0
5915,SAC @ TOR 2015-12-20,TOR,240.0,35.0,94.0,0.3720000000000001,8.0,29.0,0.276,16.0,17.0,0.941,13.0,36.0,49.0,12.0,8.0,3.0,12.0,18.0,94.0,,0.463,0.415,0.309,0.181,26.0,87.8,53.8,34.3,8.3,5.5,10.6,100.0,97.8,108.2,201512,TOR,SAC,1
5916,SAC @ TOR 2016-11-06,SAC,240.0,34.0,78.0,0.436,5.0,16.0,0.313,23.0,31.0,0.742,13.0,34.0,47.0,21.0,4.0,5.0,9.0,22.0,96.0,,0.524,0.468,0.205,0.397,30.2,72.3,52.2,61.8,4.7,9.3,8.9,100.0,111.9,106.1,201611,TOR,SAC,0
5917,SAC @ TOR 2016-11-06,TOR,240.0,30.0,84.0,0.35700000000000004,7.0,30.0,0.233,24.0,31.0,0.774,13.0,30.0,43.0,22.0,6.0,5.0,6.0,26.0,91.0,,0.466,0.399,0.35700000000000004,0.369,27.7,69.8,47.8,73.3,7.0,8.1,5.8,100.0,106.1,111.9,201611,TOR,SAC,1
5918,SAC @ TOR 2017-12-17,SAC,240.0,38.0,81.0,0.469,11.0,26.0,0.423,6.0,8.0,0.75,6.0,26.0,32.0,25.0,9.0,9.0,15.0,19.0,93.0,,0.55,0.537,0.321,0.099,15.0,68.4,41.0,65.8,9.8,16.4,15.1,100.0,101.1,117.4,201712,TOR,SAC,0
